orientation,tilt,share of roof areas
E,18.15557865148634,0.04909001134472856
E,25.863757889875302,0.03978227450286696
E,32.87636103704275,0.03669994712176346
E,43.52344701263803,0.04045326694550883
N,17.312255988891305,0.04828466316376091
N,24.879742874736543,0.041521240875016296
N,32.36154002761963,0.046410308283796865
N,43.6553790905238,0.045526888166529826
S,18.06343584636456,0.055544149861665906
S,25.41227348210105,0.036332287698236945
S,32.368792792792796,0.04748859294717772
S,43.05981948031556,0.042767460103984835
W,18.107351955106136,0.051855856063596203
W,25.376951705804164,0.03467433924557651
W,32.34054450548457,0.04184663111032216
W,43.50411608577954,0.039762504049156815
flat,0.0,0.30195957851632577
